REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,10M-4V,1,16,32,58,13,19,0,0,29,0,2,1,16,13,3,19,1,14,21,13,26,15,11,3,7,3,168,20,-1,-1,1,22,21,61,9,3,20,31,69,99,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,-6.0,11.0,-3.0,4.0,-3.0,-1.0,-2.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,10V,2,32,21,49,4,9,0,3,22,3,1,2,10,12,29,2,22,1,23,0,21,5,8,0,5,1,142,20,-1,-1,1,21,20,50,7,2,16,25,79,63,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,1.0,11.0,1.0,-1.0,-3.0,1.0,-7.0,-3.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,11V-12,1,21,24,45,9,12,0,2,28,2,3,5,15,9,12,17,15,10,11,11,10,11,8,4,0,1,142,20,-1,-1,1,23,20,49,7,2,15,25,86,56,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,-2.0,4.0,-4.0,2.0,0.0,-3.0,3.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,1M,0,5,11,39,4,16,4,0,25,4,0,2,1,9,1,1,2,1,6,12,5,26,1,23,1,13,104,20,-1,-1,1,10,10,40,6,3,13,21,17,87,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,-5.0,1.0,-1.0,-2.0,1.0,3.0,4.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,1V,1,14,4,52,6,10,0,3,18,3,0,0,10,7,1,3,0,17,10,4,27,1,22,1,5,0,108,20,-1,-1,1,13,13,40,6,2,13,20,38,70,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,1.0,-9.0,12.0,0.0,1.0,-3.0,-2.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,2M,0,15,14,58,11,17,2,0,29,2,0,1,8,8,6,2,18,2,3,14,3,44,1,21,2,13,146,20,-1,-1,1,17,17,54,8,3,18,28,45,101,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,-2.0,-3.0,4.0,3.0,-1.0,-1.0,1.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,2V,2,16,19,41,7,15,1,3,24,4,1,1,4,4,1,36,1,2,20,3,28,2,17,0,8,0,128,20,-1,-1,1,16,16,47,7,2,15,24,50,78,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,1.0,0.0,3.0,-6.0,0.0,2.0,0.0,0.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,3M,1,22,10,52,9,21,1,1,28,2,0,0,3,5,31,3,4,2,1,26,3,42,0,22,0,3,145,20,-1,-1,1,17,16,54,8,3,18,28,48,97,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,5.0,-6.0,-2.0,1.0,-1.0,3.0,0.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,3V,2,10,24,48,4,14,1,2,24,3,1,0,4,37,0,14,1,0,20,1,27,1,20,0,3,0,129,20,-1,-1,1,17,16,47,7,2,15,24,57,72,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,1.0,-7.0,8.0,1.0,-3.0,1.0,-1.0,0.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,4M,0,34,9,45,6,16,2,0,18,2,1,0,19,3,25,0,1,1,1,29,2,22,2,21,0,3,130,20,-1,-1,1,16,16,48,7,2,16,24,50,80,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,18.0,-7.0,-3.0,-1.0,0.0,0.0,-6.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,5M,2,16,17,58,7,22,3,1,30,4,3,0,22,3,8,4,8,7,2,33,4,34,7,15,0,6,156,20,-1,-1,1,19,18,57,9,3,19,30,55,101,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,1.0,-3.0,-1.0,1.0,-2.0,1.0,3.0,0.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,5V,1,15,18,31,6,10,0,3,18,3,1,2,14,8,5,1,2,6,29,1,22,1,8,0,2,0,102,20,-1,-1,1,13,12,37,6,2,12,19,39,63,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,2.0,6.0,-6.0,0.0,1.0,-2.0,-1.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,6M,0,18,19,56,7,14,1,0,30,1,0,2,4,4,5,5,5,40,10,32,6,19,3,10,0,0,145,20,-1,-1,1,20,18,52,8,2,17,27,65,80,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,-2.0,1.0,4.0,-1.0,-1.0,-3.0,3.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,6V,1,10,17,37,6,15,1,2,22,3,2,2,5,8,3,6,17,1,29,4,17,0,12,2,3,0,111,20,-1,-1,1,14,14,40,6,2,13,21,44,67,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,-4.0,3.0,-3.0,0.0,1.0,2.0,1.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,7M,2,36,16,67,9,31,1,0,30,1,3,1,3,3,7,11,13,76,8,29,3,23,0,8,0,4,192,20,-1,-1,1,31,28,66,9,2,21,34,117,75,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,1.0,5.0,-12.0,1.0,0.0,-1.0,10.0,-4.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,7V,1,18,20,50,11,18,2,1,38,3,1,1,2,7,4,12,50,8,22,4,23,9,10,3,3,0,159,20,-1,-1,1,24,22,56,8,2,18,28,85,74,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,-6.0,-2.0,-6.0,3.0,1.0,0.0,10.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,8M,1,14,23,54,6,26,0,0,32,0,0,0,5,10,3,42,2,33,0,22,1,25,1,7,0,5,156,20,-1,-1,1,25,23,54,7,2,17,27,95,61,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,-11.0,0.0,0.0,-1.0,-2.0,9.0,5.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,8V,1,21,21,40,6,15,1,2,26,3,0,3,10,11,10,3,42,1,19,2,20,1,4,1,5,1,133,20,-1,-1,1,21,19,46,6,2,15,23,80,53,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,0.0,0.0,2.0,-6.0,0.0,1.0,0.0,3.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,9M,0,18,16,61,6,11,0,0,21,0,0,3,8,3,3,40,3,19,4,18,1,13,1,12,0,5,133,20,-1,-1,1,21,19,46,6,2,15,23,79,54,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,-3.0,-3.0,15.0,0.0,-2.0,-4.0,-2.0
DE NUBLE,RANQUIL (NIPAS),ESCUELA BASICA NIPAS,9V,0,30,21,50,7,10,2,0,16,2,1,1,1,8,32,10,23,3,19,1,18,1,13,1,4,0,136,20,-1,-1,1,21,19,47,7,2,15,24,79,57,0.009811771944952022,0.2186386780937994,0.18480473712837595,0.30877321921414186,0.0363376780719676,6.738139309948089e-05,0.09151718595073928,0.15004934820292445,0.00435942880675646,0.06778633434917156,0.08064075146872947,0.4012653354735194,0.0656662354124896,0.030452685180392812,0.13719473432858995,0.21263449498035084,-1.0,9.0,2.0,3.0,0.0,0.0,-5.0,-8.0
